observation,vintage,value
2018-10,2019-02,252.794
2018-10,2020-02,252.777
2018-10,2021-02,252.899
2018-10,2022-02,252.862
2018-10,2023-02,252.772
2018-11,2019-01,252.876
2018-11,2019-02,252.76
2018-11,2020-02,252.662
2018-11,2021-02,252.822
2018-11,2022-02,252.657
2018-11,2023-02,252.594
2018-12,2019-01,252.733
2018-12,2019-02,252.723
2018-12,2020-02,252.653
2018-12,2021-02,252.493
2018-12,2022-02,252.551
2018-12,2023-02,252.767
2019-01,2019-02,252.673
2019-01,2020-02,252.55
2019-01,2021-02,252.441
2019-01,2022-02,252.47
2019-01,2023-02,252.718
2019-01,2024-02,252.561
2019-02,2019-03,253.113
2019-02,2020-02,253.181
2019-02,2021-02,252.969
2019-02,2022-02,253.135
2019-02,2023-02,253.322
2019-02,2024-02,253.319
2019-03,2019-04,254.148
2019-03,2020-02,254.095
2019-03,2021-02,254.147
2019-03,2022-02,254.273
2019-03,2023-02,254.202
2019-03,2024-02,254.277
2019-04,2019-05,254.958
2019-04,2020-02,254.943
2019-04,2021-02,255.326
2019-04,2022-02,255.163
2019-04,2023-02,255.211
2019-04,2024-02,255.233
2019-05,2019-06,255.155
2019-05,2020-02,255.167
2019-05,2021-02,255.371
2019-05,2022-02,255.325
2019-05,2023-02,255.29
2019-05,2024-02,255.296
2019-06,2019-07,255.305
2019-06,2020-02,255.402
2019-06,2021-02,255.423
2019-06,2022-02,255.361
2019-06,2023-02,255.159
2019-06,2024-02,255.213
2019-07,2019-08,256.161
2019-07,2020-02,256.087
2019-07,2021-02,255.925
2019-07,2022-02,255.9
2019-07,2023-02,255.685
2019-07,2024-02,255.802
2019-08,2019-09,256.3
2019-08,2020-02,256.294
2019-08,2021-02,256.118
2019-08,2022-02,256.179
2019-08,2023-02,256.059
2019-08,2024-02,256.036
2019-09,2019-10,256.358
2019-09,2020-02,256.593
2019-09,2021-02,256.532
2019-09,2022-02,256.596
2019-09,2023-02,256.511
2019-09,2024-02,256.43
2019-10,2019-11,257.271
2019-10,2020-02,257.229
2019-10,2021-02,257.387
2019-10,2022-02,257.305
2019-10,2023-02,257.244
2019-10,2024-02,257.155
2019-11,2019-12,257.936
2019-11,2020-02,257.824
2019-11,2021-02,257.989
2019-11,2022-02,257.788
2019-11,2023-02,257.803
2019-11,2024-02,257.879
2019-12,2020-01,258.501
2019-12,2020-02,258.444
2019-12,2021-02,258.203
2019-12,2022-02,258.263
2019-12,2023-02,258.616
2019-12,2024-02,258.63
2020-01,2020-02,258.82
2020-01,2021-02,258.687
2020-01,2022-02,258.682
2020-01,2023-02,259.037
2020-01,2024-02,258.906
2020-01,2025-02,259.127
2020-02,2020-03,259.05
2020-02,2021-02,258.824
2020-02,2022-02,259.007
2020-02,2023-02,259.248
2020-02,2024-02,259.246
2020-02,2025-02,259.25
2020-03,2020-04,257.953
2020-03,2021-02,257.989
2020-03,2022-02,258.165
2020-03,2023-02,258.124
2020-03,2024-02,258.15
2020-03,2025-02,258.076
2020-04,2020-05,255.902
2020-04,2021-02,256.192
2020-04,2022-02,256.094
2020-04,2023-02,256.092
2020-04,2024-02,256.126
2020-04,2025-02,256.032
2020-05,2020-06,255.768
2020-05,2021-02,255.942
2020-05,2022-02,255.944
2020-05,2023-02,255.868
2020-05,2024-02,255.848
2020-05,2025-02,255.802
2020-06,2020-07,257.214
2020-06,2021-02,257.282
2020-06,2022-02,257.217
2020-06,2023-02,256.986
2020-06,2024-02,257.004
2020-06,2025-02,257.042
2020-07,2020-08,258.723
2020-07,2021-02,258.604
2020-07,2022-02,258.543
2020-07,2023-02,258.278
2020-07,2024-02,258.408
2020-07,2025-02,258.352
2020-08,2020-09,259.681
2020-08,2021-02,259.511
2020-08,2022-02,259.58
2020-08,2023-02,259.411
2020-08,2024-02,259.366
2020-08,2025-02,259.316
2020-09,2020-10,260.209
2020-09,2021-02,260.149
2020-09,2022-02,260.19
2020-09,2023-02,260.029
2020-09,2024-02,259.951
2020-09,2025-02,259.997
2020-10,2020-11,260.325
2020-10,2021-02,260.462
2020-10,2022-02,260.352
2020-10,2023-02,260.286
2020-10,2024-02,260.249
2020-10,2025-02,260.319
2020-11,2020-12,260.817
2020-11,2021-02,260.927
2020-11,2022-02,260.721
2020-11,2023-02,260.813
2020-11,2024-02,260.895
2020-11,2025-02,260.911
2020-12,2021-01,261.775
2020-12,2021-02,261.56
2020-12,2022-02,261.564
2020-12,2023-02,262.035
2020-12,2024-02,262.005
2020-12,2025-02,262.045
2021-01,2021-02,262.231
2021-01,2022-02,262.2
2021-01,2023-02,262.65
2021-01,2024-02,262.518
2021-01,2025-02,262.639
2021-01,2026-02,262.687
2021-02,2021-03,263.161
2021-02,2022-02,263.346
2021-02,2023-02,263.638
2021-02,2024-02,263.583
2021-02,2025-02,263.573
2021-02,2026-02,263.579
2021-03,2021-04,264.793
2021-03,2022-02,265.028
2021-03,2023-02,264.914
2021-03,2024-02,264.91
2021-03,2025-02,264.847
2021-03,2026-02,264.961
2021-04,2021-05,266.832
2021-04,2022-02,266.727
2021-04,2023-02,266.67
2021-04,2024-02,266.752
2021-04,2025-02,266.625
2021-04,2026-02,266.614
2021-05,2021-06,268.551
2021-05,2022-02,268.599
2021-05,2023-02,268.444
2021-05,2024-02,268.452
2021-05,2025-02,268.404
2021-05,2026-02,268.383
2021-06,2021-07,270.981
2021-06,2022-02,270.955
2021-06,2023-02,270.559
2021-06,2024-02,270.664
2021-06,2025-02,270.71
2021-06,2026-02,270.654
2021-07,2021-08,272.265
2021-07,2022-02,272.184
2021-07,2023-02,271.764
2021-07,2024-02,271.994
2021-07,2025-02,271.965
2021-07,2026-02,271.903
2021-08,2021-09,273.012
2021-08,2022-02,273.092
2021-08,2023-02,272.87
2021-08,2024-02,272.789
2021-08,2025-02,272.752
2021-08,2026-02,272.676
2021-09,2021-10,274.138
2021-09,2022-02,274.214
2021-09,2023-02,274.028
2021-09,2024-02,273.887
2021-09,2025-02,273.942
2021-09,2026-02,273.91
2021-10,2021-11,276.724
2021-10,2022-02,276.59
2021-10,2023-02,276.522
2021-10,2024-02,276.434
2021-10,2025-02,276.528
2021-10,2026-02,276.55
2021-11,2021-12,278.88
2021-11,2022-02,278.524
2021-11,2023-02,278.711
2021-11,2024-02,278.799
2021-11,2025-02,278.824
2021-11,2026-02,278.919
2021-12,2022-01,280.192
2021-12,2022-02,280.126
2021-12,2023-02,280.887
2021-12,2024-02,280.808
2021-12,2025-02,280.806
2021-12,2026-02,280.845
2022-01,2022-02,281.933
2022-01,2023-02,282.599
2022-01,2024-02,282.39
2022-01,2025-02,282.542
2022-01,2026-02,282.543
2022-02,2022-03,284.182
2022-02,2023-02,284.61
2022-02,2024-02,284.535
2022-02,2025-02,284.525
2022-02,2026-02,284.5
2022-03,2022-04,287.708
2022-03,2023-02,287.472
2022-03,2024-02,287.553
2022-03,2025-02,287.467
2022-03,2026-02,287.674
2022-04,2022-05,288.663
2022-04,2023-02,288.611
2022-04,2024-02,288.764
2022-04,2025-02,288.582
2022-04,2026-02,288.561
2022-05,2022-06,291.474
2022-05,2023-02,291.268
2022-05,2024-02,291.359
2022-05,2025-02,291.299
2022-05,2026-02,291.298
2022-06,2022-07,295.328
2022-06,2023-02,294.728
2022-06,2024-02,294.996
2022-06,2025-02,295.072
2022-06,2026-02,294.957
2022-07,2022-08,295.271
2022-07,2023-02,294.628
2022-07,2024-02,294.977
2022-07,2025-02,294.94
2022-07,2026-02,294.913
2022-08,2022-09,295.62
2022-08,2023-02,295.32
2022-08,2024-02,295.209
2022-08,2025-02,295.162
2022-08,2026-02,295.097
2022-09,2022-10,296.761
2022-09,2023-02,296.539
2022-09,2024-02,296.341
2022-09,2025-02,296.421
2022-09,2026-02,296.349
2022-10,2022-11,298.062
2022-10,2023-02,297.987
2022-10,2024-02,297.863
2022-10,2025-02,297.979
2022-10,2026-02,298.007
2022-11,2022-12,298.349
2022-11,2023-02,298.598
2022-11,2024-02,298.648
2022-11,2025-02,298.708
2022-11,2026-02,298.786
2022-12,2023-01,298.112
2022-12,2023-02,298.99
2022-12,2024-02,298.812
2022-12,2025-02,298.808
2022-12,2026-02,298.832
2023-01,2023-02,300.536
2023-01,2024-02,300.356
2023-01,2025-02,300.456
2023-01,2026-02,300.42
2023-02,2023-03,301.648
2023-02,2024-02,301.509
2023-02,2025-02,301.476
2023-02,2026-02,301.45
2023-03,2023-04,301.808
2023-03,2024-02,301.744
2023-03,2025-02,301.643
2023-03,2026-02,301.821
2023-04,2023-05,302.918
2023-04,2024-02,303.032
2023-04,2025-02,302.858
2023-04,2026-02,302.845
2023-05,2023-06,303.294
2023-05,2024-02,303.365
2023-05,2025-02,303.316
2023-05,2026-02,303.334
2023-06,2023-07,303.841
2023-06,2024-02,304.003
2023-06,2025-02,304.099
2023-06,2026-02,304.014
2023-07,2023-08,304.348
2023-07,2024-02,304.628
2023-07,2025-02,304.615
2023-07,2026-02,304.609
2023-08,2023-09,306.269
2023-08,2024-02,306.187
2023-08,2025-02,306.138
2023-08,2026-02,306.082
2023-09,2023-10,307.481
2023-09,2024-02,307.288
2023-09,2025-02,307.374
2023-09,2026-02,307.276
2023-10,2023-11,307.619
2023-10,2024-02,307.531
2023-10,2025-02,307.653
2023-10,2026-02,307.696
2023-11,2023-12,307.917
2023-11,2024-02,308.024
2023-11,2025-02,308.087
2023-11,2026-02,308.148
2023-12,2024-01,308.85
2023-12,2024-02,308.742
2023-12,2025-02,308.735
2023-12,2026-02,308.741
2024-01,2024-02,309.685
2024-01,2025-02,309.794
2024-01,2026-02,309.698
2024-02,2024-03,311.054
2024-02,2025-02,311.022
2024-02,2026-02,310.967
2024-03,2024-04,312.23
2024-03,2025-02,312.107
2024-03,2026-02,312.345
2024-04,2024-05,313.207
2024-04,2025-02,313.016
2024-04,2026-02,313.023
2024-05,2024-06,313.225
2024-05,2025-02,313.14
2024-05,2026-02,313.175
2024-06,2024-07,313.049
2024-06,2025-02,313.131
2024-06,2026-02,313.044
2024-07,2024-08,313.534
2024-07,2025-02,313.566
2024-07,2026-02,313.569
2024-08,2024-09,314.121
2024-08,2025-02,314.131
2024-08,2026-02,314.062
2024-09,2024-10,314.686
2024-09,2025-02,314.851
2024-09,2026-02,314.732
2024-10,2024-11,315.454
2024-10,2025-02,315.564
2024-10,2026-02,315.631
2024-11,2024-12,316.441
2024-11,2025-02,316.449
2024-11,2026-02,316.528
2024-12,2025-01,317.685
2024-12,2025-02,317.603
2024-12,2026-02,317.604
2025-01,2025-02,319.086
2025-01,2026-02,318.961
2025-02,2025-03,319.775
2025-02,2026-02,319.679
2025-03,2025-04,319.615
2025-03,2026-02,319.785
2025-04,2025-05,320.321
2025-04,2026-02,320.302
2025-05,2025-06,320.58
2025-05,2026-02,320.62
2025-06,2025-07,321.5
2025-06,2026-02,321.435
2025-07,2025-08,322.132
2025-07,2026-02,322.169
2025-08,2025-09,323.364
2025-08,2026-02,323.291
2025-09,2025-10,324.368
2025-09,2026-02,324.245
2025-11,2025-12,325.031
2025-11,2026-02,325.063
2025-12,2026-01,326.03
2025-12,2026-02,326.031
2026-01,2026-02,326.588
2026-02,2026-03,327.46
2026-03,2026-04,330.293
2026-04,2026-05,332.407
2026-05,2026-06,333.979
2026-06,2026-07,332.568
