observation,vintage,value
2021-Q2,2021-09,22731.4
2021-Q2,2021-10,22741.0
2021-Q2,2022-10,23046.9
2021-Q2,2023-10,23292.4
2021-Q2,2024-10,23368.9
2021-Q2,2025-10,23425.9
2021-Q3,2021-11,23173.5
2021-Q3,2021-12,23187.0
2021-Q3,2022-01,23202.3
2021-Q3,2022-10,23550.4
2021-Q3,2023-10,23829.0
2021-Q3,2024-10,23922.0
2021-Q3,2025-10,23982.4
2021-Q4,2022-02,23992.4
2021-Q4,2022-03,24008.5
2021-Q4,2022-04,24002.8
2021-Q4,2022-10,24349.1
2021-Q4,2023-10,24654.6
2021-Q4,2024-10,24777.0
2021-Q4,2025-10,24813.6
2022-Q1,2022-05,24382.7
2022-Q1,2022-06,24384.3
2022-Q1,2022-07,24386.7
2022-Q1,2022-10,24740.5
2022-Q1,2023-10,25029.1
2022-Q1,2024-10,25215.5
2022-Q1,2025-10,25250.3
2022-Q2,2022-08,24851.8
2022-Q2,2022-09,24882.9
2022-Q2,2022-10,25248.5
2022-Q2,2023-10,25544.3
2022-Q2,2024-10,25805.8
2022-Q2,2025-10,25861.3
2022-Q3,2022-11,25663.3
2022-Q3,2022-12,25699.0
2022-Q3,2023-01,25723.9
2022-Q3,2023-10,25994.6
2022-Q3,2024-10,26272.0
2022-Q3,2025-10,26336.3
2022-Q4,2023-02,26132.5
2022-Q4,2023-03,26145.0
2022-Q4,2023-04,26138.0
2022-Q4,2023-10,26408.4
2022-Q4,2024-10,26734.3
2022-Q4,2025-10,26770.5
2023-Q1,2023-05,26465.9
2023-Q1,2023-06,26486.3
2023-Q1,2023-07,26529.8
2023-Q1,2023-10,26813.6
2023-Q1,2024-10,27164.4
2023-Q1,2025-10,27216.4
2023-Q2,2023-08,26835.0
2023-Q2,2023-09,26798.6
2023-Q2,2023-10,27063.0
2023-Q2,2024-10,27453.8
2023-Q2,2025-10,27530.1
2023-Q3,2023-11,27623.5
2023-Q3,2023-12,27644.5
2023-Q3,2024-01,27610.1
2023-Q3,2024-10,27967.7
2023-Q3,2025-10,28074.8
2023-Q4,2024-02,27938.8
2023-Q4,2024-03,27944.6
2023-Q4,2024-04,27957.0
2023-Q4,2024-10,28297.0
2023-Q4,2025-10,28424.7
2024-Q1,2024-05,28284.5
2024-Q1,2024-06,28255.9
2024-Q1,2024-07,28269.2
2024-Q1,2024-10,28624.1
2024-Q1,2025-10,28708.2
2024-Q2,2024-08,28629.2
2024-Q2,2024-09,28652.3
2024-Q2,2024-10,29016.7
2024-Q2,2025-10,29147.0
2024-Q3,2024-11,29349.9
2024-Q3,2024-12,29354.3
2024-Q3,2025-01,29374.9
2024-Q3,2025-10,29511.7
2024-Q4,2025-02,29700.6
2024-Q4,2025-03,29719.6
2024-Q4,2025-04,29723.9
2024-Q4,2025-10,29825.2
2025-Q1,2025-05,29977.6
2025-Q1,2025-06,29976.6
2025-Q1,2025-07,29962.0
2025-Q1,2025-10,30042.1
2025-Q2,2025-08,30331.1
2025-Q2,2025-09,30353.9
2025-Q2,2025-10,30485.7
2025-Q3,2026-01,31095.1
2025-Q3,2026-02,31098.0
2025-Q4,2026-03,31490.1
2025-Q4,2026-04,31442.5
2025-Q4,2026-05,31422.5
2026-Q1,2026-05,31856.3
2026-Q1,2026-06,31819.5
2026-Q1,2026-07,31865.7
2026-Q2,2026-08,32475.2
