observation,vintage,version,value,basis
1956-Q1,2024-11-15,39,138343,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2025-11-13,43,148955,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2015-05-27,1,104591,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2015-05-27,2,106469,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2016-08-25,5,109919,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2017-11-23,10,112709,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2018-08-09,13,114244,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2019-11-11,19,115024,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2020-11-12,23,119475,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2021-11-11,27,125593,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2022-11-15,31,132679,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2023-11-10,35,124751,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2024-11-15,39,138200,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2025-11-13,43,148835,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2015-05-27,1,104476,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2015-05-27,2,106345,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2016-08-25,5,109859,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2017-11-23,10,112601,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2018-08-09,13,114135,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2019-11-11,19,114890,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2020-11-12,23,119357,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2021-11-11,27,125447,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2022-11-15,31,132495,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2023-11-10,35,124594,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2024-11-15,39,138030,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q3,2025-11-13,43,148665,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2015-05-27,1,104934,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2015-05-27,2,106809,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
