observation,vintage,version,value,basis
2016 AUG,2024-02-13,97,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 AUG,2024-12-17,107,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 DEC,2017-03-15,17,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2016 DEC,2024-02-13,97,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 DEC,2024-12-17,107,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 FEB,2016-05-18,7,5.1,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
2016 JAN,2016-04-20,6,5.1,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
2016 JAN,2024-02-13,97,5.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 JAN,2024-12-17,107,5.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 JUL,2016-10-18,12,4.9,Unemployment rate
2016 JUL,2017-05-16,19,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2016 JUN,2016-09-13,11,4.9,Unemployment rate
2016 MAR,2016-06-15,8,5.0,Unemployment rate
2016 MAR,2024-02-13,97,5.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 MAR,2024-12-17,107,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 MAY,2016-08-16,10,4.9,Unemployment rate
2016 MAY,2024-02-13,97,5.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 MAY,2024-12-17,107,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 NOV,2017-02-15,16,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2016 NOV,2019-02-19,40,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2016 NOV,2024-02-13,97,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 NOV,2024-12-17,107,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 OCT,2017-01-18,15,4.8,Unemployment rate
2016 OCT,2024-02-13,97,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 OCT,2024-12-17,107,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 SEP,2016-12-14,14,4.8,Unemployment rate
2016 SEP,2024-02-13,97,4.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2016 SEP,2024-12-17,107,4.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 APR,2017-07-11,21,4.5,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 APR,2019-02-19,40,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 APR,2024-02-13,97,4.5,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 APR,2024-12-17,107,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 AUG,2017-11-15,25,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 DEC,2018-03-20,29,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 DEC,2024-02-13,97,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 DEC,2024-12-17,107,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 FEB,2017-05-16,19,4.6,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 JAN,2017-04-11,18,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 JAN,2019-02-19,40,4.6,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 JAN,2024-02-13,97,4.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 JAN,2024-12-17,107,4.6,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 JUL,2017-10-17,24,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 JUL,2024-02-13,97,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 JUL,2024-12-17,107,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 JUN,2017-09-12,23,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 JUN,2024-02-13,97,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 JUN,2024-12-17,107,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 MAR,2017-06-13,20,4.6,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 MAR,2019-02-19,40,4.5,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 MAR,2024-02-13,97,4.6,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 MAR,2024-12-17,107,4.5,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 MAY,2017-08-15,22,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 MAY,2024-02-13,97,4.5,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
