observation,vintage,version,value,basis
2022 JUL,2022-10-10,85,3.5,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 JUL,2024-02-13,97,3.6,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 JUN,2022-09-12,84,3.6,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 JUN,2024-02-13,97,3.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 JUN,2024-12-17,107,3.6,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 MAR,2022-06-13,81,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 MAR,2024-02-13,97,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 MAR,2024-12-17,107,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 MAY,2022-08-15,83,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 MAY,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 MAY,2024-12-17,107,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 NOV,2023-02-14,89,3.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 NOV,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 OCT,2023-01-17,88,3.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 OCT,2024-02-13,97,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 OCT,2024-12-17,107,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 SEP,2022-12-13,87,3.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 SEP,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 SEP,2024-12-17,107,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 APR,2023-07-10,94,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 AUG,2024-02-13,97,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 DEC,2024-03-12,98,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 DEC,2024-04-15,99,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 DEC,2024-12-17,107,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 FEB,2023-05-15,92,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 FEB,2024-02-13,97,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 JAN,2023-04-17,91,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 JAN,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 JAN,2024-12-17,107,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 JUL,2024-02-13,97,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 JUL,2024-12-17,107,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 JUN,2024-01-16,96,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2023 JUN,2026-07-20,126,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
