observation,vintage,version,value,basis
1990-06,2016-01-19,4,55.9,CPI All Items Index: Estimated pre-97 2005=100
1990-07,2015-10-12,1,71.4,CPI All Items Index: Estimated pre-97 2005=100
1990-07,2016-01-19,4,55.8,CPI All Items Index: Estimated pre-97 2005=100
1990-08,2015-10-12,1,72.2,CPI All Items Index: Estimated pre-97 2005=100
1990-08,2016-01-19,4,56.4,CPI All Items Index: Estimated pre-97 2005=100
1990-09,2015-10-12,1,72.9,CPI All Items Index: Estimated pre-97 2005=100
1990-09,2016-01-19,4,57.0,CPI All Items Index: Estimated pre-97 2005=100
1990-10,2015-10-12,1,73.5,CPI All Items Index: Estimated pre-97 2005=100
1990-10,2016-01-19,4,57.4,CPI All Items Index: Estimated pre-97 2005=100
1990-11,2015-10-12,1,73.6,CPI All Items Index: Estimated pre-97 2005=100
1990-11,2016-01-19,4,57.5,CPI All Items Index: Estimated pre-97 2005=100
1990-12,2015-10-12,1,73.5,CPI All Items Index: Estimated pre-97 2005=100
1990-12,2016-01-19,4,57.4,CPI All Items Index: Estimated pre-97 2005=100
1990-12,2018-12-19,39,57.5,CPI INDEX 00: ALL ITEMS 2015=100
1991-01,2015-10-12,1,73.5,CPI All Items Index: Estimated pre-97 2005=100
1991-01,2016-01-19,4,57.4,CPI All Items Index: Estimated pre-97 2005=100
1991-02,2015-10-12,1,73.9,CPI All Items Index: Estimated pre-97 2005=100
1991-02,2016-01-19,4,57.7,CPI All Items Index: Estimated pre-97 2005=100
1991-03,2015-10-12,1,74.1,CPI All Items Index: Estimated pre-97 2005=100
1991-03,2016-01-19,4,57.9,CPI All Items Index: Estimated pre-97 2005=100
1991-04,2015-10-12,1,76.6,CPI All Items Index: Estimated pre-97 2005=100
1991-04,2016-01-19,4,59.9,CPI All Items Index: Estimated pre-97 2005=100
1991-05,2015-10-12,1,77.2,CPI All Items Index: Estimated pre-97 2005=100
1991-05,2016-01-19,4,60.3,CPI All Items Index: Estimated pre-97 2005=100
1991-06,2015-10-12,1,77.6,CPI All Items Index: Estimated pre-97 2005=100
1991-06,2016-01-19,4,60.6,CPI All Items Index: Estimated pre-97 2005=100
1991-07,2015-10-12,1,77.4,CPI All Items Index: Estimated pre-97 2005=100
1991-07,2016-01-19,4,60.4,CPI All Items Index: Estimated pre-97 2005=100
1991-07,2018-12-19,39,60.5,CPI INDEX 00: ALL ITEMS 2015=100
1991-08,2015-10-12,1,77.7,CPI All Items Index: Estimated pre-97 2005=100
1991-08,2016-01-19,4,60.7,CPI All Items Index: Estimated pre-97 2005=100
1991-08,2018-12-19,39,60.9,CPI INDEX 00: ALL ITEMS 2015=100
1991-09,2015-10-12,1,78.1,CPI All Items Index: Estimated pre-97 2005=100
1991-09,2016-01-19,4,61.0,CPI All Items Index: Estimated pre-97 2005=100
1991-09,2018-12-19,39,61.1,CPI INDEX 00: ALL ITEMS 2015=100
1991-10,2015-10-12,1,78.5,CPI All Items Index: Estimated pre-97 2005=100
1991-10,2016-01-19,4,61.3,CPI All Items Index: Estimated pre-97 2005=100
1991-11,2015-10-12,1,78.8,CPI All Items Index: Estimated pre-97 2005=100
1991-11,2016-01-19,4,61.5,CPI All Items Index: Estimated pre-97 2005=100
1991-12,2015-10-12,1,78.8,CPI All Items Index: Estimated pre-97 2005=100
1991-12,2016-01-19,4,61.6,CPI All Items Index: Estimated pre-97 2005=100
1992-01,2015-10-12,1,78.6,CPI All Items Index: Estimated pre-97 2005=100
1992-01,2016-01-19,4,61.4,CPI All Items Index: Estimated pre-97 2005=100
1992-02,2015-10-12,1,79.0,CPI All Items Index: Estimated pre-97 2005=100
1992-02,2016-01-19,4,61.7,CPI All Items Index: Estimated pre-97 2005=100
1992-03,2015-10-12,1,79.4,CPI All Items Index: Estimated pre-97 2005=100
1992-03,2016-01-19,4,62.0,CPI All Items Index: Estimated pre-97 2005=100
1992-04,2015-10-12,1,80.2,CPI All Items Index: Estimated pre-97 2005=100
1992-04,2016-01-19,4,62.7,CPI All Items Index: Estimated pre-97 2005=100
1992-05,2015-10-12,1,80.5,CPI All Items Index: Estimated pre-97 2005=100
1992-05,2016-01-19,4,62.9,CPI All Items Index: Estimated pre-97 2005=100
1992-06,2015-10-12,1,80.6,CPI All Items Index: Estimated pre-97 2005=100
1992-06,2016-01-19,4,62.9,CPI All Items Index: Estimated pre-97 2005=100
1992-07,2015-10-12,1,80.2,CPI All Items Index: Estimated pre-97 2005=100
1992-07,2016-01-19,4,62.6,CPI All Items Index: Estimated pre-97 2005=100
1992-08,2015-10-12,1,80.2,CPI All Items Index: Estimated pre-97 2005=100
1992-08,2016-01-19,4,62.6,CPI All Items Index: Estimated pre-97 2005=100
1992-08,2018-12-19,39,62.7,CPI INDEX 00: ALL ITEMS 2015=100
1992-09,2015-10-12,1,80.5,CPI All Items Index: Estimated pre-97 2005=100
1992-09,2016-01-19,4,62.9,CPI All Items Index: Estimated pre-97 2005=100
1992-10,2015-10-12,1,80.7,CPI All Items Index: Estimated pre-97 2005=100
1992-10,2016-01-19,4,63.1,CPI All Items Index: Estimated pre-97 2005=100
1992-11,2015-10-12,1,80.8,CPI All Items Index: Estimated pre-97 2005=100
1992-11,2016-01-19,4,63.1,CPI All Items Index: Estimated pre-97 2005=100
1992-12,2015-10-12,1,80.8,CPI All Items Index: Estimated pre-97 2005=100
1992-12,2016-01-19,4,63.2,CPI All Items Index: Estimated pre-97 2005=100
1993-01,2015-10-12,1,80.4,CPI All Items Index: Estimated pre-97 2005=100
1993-01,2016-01-19,4,62.8,CPI All Items Index: Estimated pre-97 2005=100
1993-02,2015-10-12,1,80.9,CPI All Items Index: Estimated pre-97 2005=100
1993-02,2016-01-19,4,63.2,CPI All Items Index: Estimated pre-97 2005=100
1993-03,2015-10-12,1,81.3,CPI All Items Index: Estimated pre-97 2005=100
1993-03,2016-01-19,4,63.5,CPI All Items Index: Estimated pre-97 2005=100
1993-03,2018-12-19,39,63.6,CPI INDEX 00: ALL ITEMS 2015=100
1993-04,2015-10-12,1,82.2,CPI All Items Index: Estimated pre-97 2005=100
1993-04,2016-01-19,4,64.2,CPI All Items Index: Estimated pre-97 2005=100
1993-04,2018-12-19,39,64.3,CPI INDEX 00: ALL ITEMS 2015=100
1993-05,2015-10-12,1,82.5,CPI All Items Index: Estimated pre-97 2005=100
1993-05,2016-01-19,4,64.5,CPI All Items Index: Estimated pre-97 2005=100
1993-06,2015-10-12,1,82.5,CPI All Items Index: Estimated pre-97 2005=100
1993-06,2016-01-19,4,64.4,CPI All Items Index: Estimated pre-97 2005=100
1993-06,2018-12-19,39,64.5,CPI INDEX 00: ALL ITEMS 2015=100
1993-07,2015-10-12,1,82.2,CPI All Items Index: Estimated pre-97 2005=100
1993-07,2016-01-19,4,64.2,CPI All Items Index: Estimated pre-97 2005=100
1993-08,2015-10-12,1,82.5,CPI All Items Index: Estimated pre-97 2005=100
1993-08,2016-01-19,4,64.5,CPI All Items Index: Estimated pre-97 2005=100
1993-09,2015-10-12,1,82.9,CPI All Items Index: Estimated pre-97 2005=100
1993-09,2016-01-19,4,64.8,CPI All Items Index: Estimated pre-97 2005=100
1993-10,2015-10-12,1,82.8,CPI All Items Index: Estimated pre-97 2005=100
1993-10,2016-01-19,4,64.7,CPI All Items Index: Estimated pre-97 2005=100
1993-11,2015-10-12,1,82.6,CPI All Items Index: Estimated pre-97 2005=100
1993-11,2016-01-19,4,64.5,CPI All Items Index: Estimated pre-97 2005=100
1993-11,2018-12-19,39,64.6,CPI INDEX 00: ALL ITEMS 2015=100
1993-12,2015-10-12,1,82.8,CPI All Items Index: Estimated pre-97 2005=100
1993-12,2016-01-19,4,64.7,CPI All Items Index: Estimated pre-97 2005=100
1994-01,2015-10-12,1,82.5,CPI All Items Index: Estimated pre-97 2005=100
1994-01,2016-01-19,4,64.4,CPI All Items Index: Estimated pre-97 2005=100
1994-01,2018-12-19,39,64.5,CPI INDEX 00: ALL ITEMS 2015=100
1994-02,2015-10-12,1,82.9,CPI All Items Index: Estimated pre-97 2005=100
1994-02,2016-01-19,4,64.7,CPI All Items Index: Estimated pre-97 2005=100
1994-02,2018-12-19,39,64.8,CPI INDEX 00: ALL ITEMS 2015=100
1994-03,2015-10-12,1,83.1,CPI All Items Index: Estimated pre-97 2005=100
1994-03,2016-01-19,4,64.9,CPI All Items Index: Estimated pre-97 2005=100
1994-03,2018-12-19,39,65.0,CPI INDEX 00: ALL ITEMS 2015=100
1994-04,2015-10-12,1,83.9,CPI All Items Index: Estimated pre-97 2005=100
